id,text,emotion_type,source
35,晚上听见隔壁宿舍聊天，我突然很想加入但又不敢敲门,lonely,ai_generated
36,我在校园里绕了很久，只是不想太早回到一个人的房间,lonely,ai_generated
37,朋友圈里都是合照，我翻了一会儿就把手机锁上了,lonely,ai_generated
38,今天没有人问我怎么了，所以我也假装自己没事,lonely,ai_generated
39,走到校门口时人很多，我却觉得自己像被人群推着走,lonely,ai_generated
40,我买了两瓶水，后来才想起来其实只有我一个人,lonely,ai_generated
41,晚上自习室灯一排排灭掉，我才意识到自己又待到了最后,lonely,ai_generated
42,我在湖边听别人讲笑话，笑声传过来却没有落到我身上,lonely,ai_generated
43,宿舍群里有人约饭，我看见消息时已经没人再提了,lonely,ai_generated
44,我把今天想说的话存在备忘录里，像寄给一个不存在的人,lonely,ai_generated
45,篮球场很亮，我站在外面看了一会儿就走了,lonely,ai_generated
46,从快递站回来时抱着箱子，突然觉得自己也像一件没人认领的东西,lonely,ai_generated
47,大家都在忙自己的计划，我好像只是他们时间表外的一小格,lonely,ai_generated
48,走廊尽头有人在等朋友，我从他们旁边低头走过去,lonely,ai_generated
49,今天很想有人陪我吃顿饭，可最后还是点了一个人的外卖,lonely,ai_generated
50,我听见有人喊同伴的名字，才发现自己很久没被这样需要过,lonely,ai_generated
51,明天要考试了，我一直担心自己会突然什么都想不起来,anxious,ai_generated
52,老师说明天可能抽查汇报，我从下午开始就心里发慌,anxious,ai_generated
53,投出去的申请一直没有回复，我越等越不安,anxious,ai_generated
54,成绩还没出，我已经开始反复想最坏的结果,anxious,ai_generated
55,快轮到我上台展示了，手心一直出汗,anxious,ai_generated
56,不知道小组讨论会不会又出问题，我一整晚都放不下心,anxious,ai_generated
57,明天要和老师单独沟通，我怕自己说不清楚,anxious,ai_generated
58,手机一响我就紧张，总觉得会是什么坏消息,anxious,ai_generated
59,报名截止快到了，我还没想好要不要参加，心里很乱,anxious,ai_generated
60,走进考场前，我听见自己的心跳特别明显,anxious,ai_generated
61,同学都说不难，可我还是担心自己跟不上,anxious,ai_generated
62,明天有面试，我脑子里一直重复那些可能答不上来的问题,anxious,ai_generated
63,看到课程群里发的新通知，我突然又开始紧张,anxious,ai_generated
64,计划被打乱以后，我整个人都悬着，不知道下一步该怎么办,anxious,ai_generated
65,别人都很确定自己的方向，我越想越害怕自己选错,anxious,ai_generated
66,还没到答辩时间，我已经开始想象自己卡壳的样子,anxious,ai_generated
67,晚上躺下以后，明天的事情一件件冒出来，怎么都睡不着,anxious,ai_generated
68,我怕自己这次又让人失望，这个念头一直压在心里,anxious,ai_generated
69,看着日程表上的安排，我突然不知道自己能不能撑住,anxious,ai_generated
70,还没收到确认消息，我就一直刷新页面，越刷越慌,anxious,ai_generated
71,答辩名单还没公布，我已经开始担心自己会被问住,anxious,ai_generated
72,老师说要临时检查，我一整节课都没法集中注意力,anxious,ai_generated
73,明天第一次去实验室值班，我怕自己把流程弄错,anxious,ai_generated
74,报名表提交以后，我反复确认有没有填错信息,anxious,ai_generated
75,期末安排还没定，我却已经开始想象最糟的那一周,anxious,ai_generated
76,刚收到面试通知，我脑子里全是可能答不上来的问题,anxious,ai_generated
77,小组里没人回复，我担心是不是只有我还没弄明白任务,anxious,ai_generated
78,考试倒计时越近，我越怕自己复习的方向全错了,anxious,ai_generated
79,看到老师在群里发了一个收到请回复，我心里突然一紧,anxious,ai_generated
80,明天要去找辅导员谈话，我从现在开始就坐立不安,anxious,ai_generated
81,我不知道自己这次选择对不对，越想越没底,anxious,ai_generated
82,成绩系统还没开放，我已经刷新了很多次,anxious,ai_generated
83,讲台离我越来越近，我感觉自己的声音会发抖,anxious,ai_generated
84,下周要交的材料还没确认格式，我怕到时候来不及改,anxious,ai_generated
85,别人都说顺其自然，可我就是控制不住地担心,anxious,ai_generated
86,我怕自己说错一句话，会让整个汇报变得尴尬,anxious,ai_generated
87,实验还没开始，我已经在担心结果会不会失败,anxious,ai_generated
88,看到未接来电的时候，我第一反应就是是不是出事了,anxious,ai_generated
89,明天要和陌生队友合作，我担心自己融不进去,anxious,ai_generated
90,我把闹钟设了五个，还是怕早上醒不过来,anxious,ai_generated
91,还没走进考场，我就开始想自己会不会忘带证件,anxious,ai_generated
92,申请材料发出去后，我一直担心附件是不是传错了,anxious,ai_generated
93,老师说随机点名，我的心一下子悬了起来,anxious,ai_generated
94,我想提前准备所有可能情况，可越准备越觉得不够,anxious,ai_generated
95,晚上本来想休息，但明天的事一直在脑子里转,anxious,ai_generated
96,我担心自己的普通话不够清楚，上台前一直练开头那句,anxious,ai_generated
97,快到截止时间了，我怕网络突然出问题,anxious,ai_generated
98,想到要在很多人面前表达观点，我的胃就开始发紧,anxious,ai_generated
99,同学说结果应该没事，可我还是忍不住往坏处想,anxious,ai_generated
100,通知还没有来，我却已经把各种可能都想了一遍,anxious,ai_generated
101,三门作业挤在同一天截止，我感觉整个人都被 ddl 推着走,stressed,ai_generated
102,图书馆坐了一下午，任务清单还是长得看不到头,stressed,ai_generated
103,小组作业突然多了一堆修改，我真的有点喘不过气,stressed,ai_generated
104,复习资料堆在桌上，每翻一页都觉得压力更重一点,stressed,ai_generated
105,老师又布置了新的实验报告，我看着文件夹发呆,stressed,ai_generated
106,这周的考试和汇报撞在一起，感觉时间怎么都不够用,stressed,ai_generated
107,绩点排名快出了，我觉得自己被一串数字追着跑,stressed,ai_generated
108,项目还没做完，群里又开始催进度，我脑子很满,stressed,ai_generated
109,今晚本来想休息，但明天要交的东西还一个都没收尾,stressed,ai_generated
110,教学楼的灯亮到很晚，我也还在赶那份改不完的报告,stressed,ai_generated
111,任务一件接一件地压过来，我连吃饭都在想还有什么没做,stressed,ai_generated
112,老师说下周要检查阶段成果，我突然觉得这几天都不够用了,stressed,ai_generated
113,打开电脑看到待办列表，我第一反应不是开始，而是窒息,stressed,ai_generated
114,大家都在赶进度，我也只能硬着头皮继续往前推,stressed,ai_generated
115,实验数据又出错了，报告今晚可能又写不完,stressed,ai_generated
116,复习到一半发现还有一整章没看，心里一下沉了下去,stressed,ai_generated
117,一边准备考试一边改项目，我感觉自己被切成了很多份,stressed,ai_generated
118,导师临时加了要求，我看着文档只觉得头皮发紧,stressed,ai_generated
119,今天从早到晚都在处理任务，却没有一件真正结束,stressed,ai_generated
120,我不是不想做好，只是所有事情都同时压了上来,stressed,ai_generated
121,今天的待办从早上排到晚上，每一项都像在催我,stressed,ai_generated
122,课程设计刚改完一版，老师又提出了新的要求,stressed,ai_generated
123,实验报告、复习提纲和小组展示全挤在这两天,stressed,ai_generated
124,我一打开电脑就看到三个未完成的文档，头一下就大了,stressed,ai_generated
125,ddl 不是一个点，而是一整片压过来的云,stressed,ai_generated
126,这周每天都有任务提交，我已经分不清今天是星期几,stressed,ai_generated
127,组里进度落后，我感觉自己一直在补别人没做完的部分,stressed,ai_generated
128,复习计划写得很满，可真正完成的只有一点点,stressed,ai_generated
129,老师说这个模块还要重构，我看着代码沉默了很久,stressed,ai_generated
130,课表、会议和作业撞在一起，我连喘口气的空档都没有,stressed,ai_generated
131,我在图书馆坐了四个小时，任务列表只少了一行,stressed,ai_generated
132,每个人都问我进度怎么样，我也想知道进度到底在哪里,stressed,ai_generated
133,实验数据跑了一晚上还是不对，我感觉时间都被吞掉了,stressed,ai_generated
134,提交系统一直报错，截止时间却一点点逼近,stressed,ai_generated
135,今天不是事情很难，是事情太多太密了,stressed,ai_generated
136,我把计划拆得很细，还是觉得每一步都压在肩上,stressed,ai_generated
137,复习资料越整理越多，像永远看不到底,stressed,ai_generated
138,小组汇报我负责的部分最多，压力也像默认分给了我,stressed,ai_generated
139,老师一句尽快给我，我就知道今晚又不用睡太早了,stressed,ai_generated
140,我不是不努力，只是任务像不断刷新一样冒出来,stressed,ai_generated
141,项目进度条卡在一半，后面还有测试和文档等着,stressed,ai_generated
142,我在教学楼跑上跑下，只为了补齐一个签字和一份表,stressed,ai_generated
143,同时准备考试和比赛，脑子像开了太多窗口,stressed,ai_generated
144,每次想休息一下，就会想起还有作业没交,stressed,ai_generated
145,这门课的要求一改再改，我已经不知道怎样才算完成,stressed,ai_generated
146,我把晚饭时间也拿来赶报告，还是觉得来不及,stressed,ai_generated
147,小组群消息一直弹，我连看完都觉得累,stressed,ai_generated
148,任务堆到一起的时候，我连开始哪一项都要犹豫很久,stressed,ai_generated
149,课程平台又发了新通知，我感觉今天的压力又加了一层,stressed,ai_generated
150,我坐在电脑前很久，不是不会做，是被事情数量压住了,stressed,ai_generated
151,昨晚熬到两点，今天坐在教室里眼睛一直睁不开,tired,ai_generated
152,从早八上到晚课，走回宿舍时腿都像不是自己的,tired,ai_generated
153,今天没发生什么大事，但我就是累得一句话也不想说,tired,ai_generated
154,在自习室坐太久了，脑子像被掏空一样,tired,ai_generated
155,洗完澡坐在床边，我突然连吹头发的力气都没有,tired,ai_generated
156,连轴转了一整周，今天终于感觉身体开始抗议,tired,ai_generated
157,饭点过了才发现自己还没吃东西，只觉得很疲惫,tired,ai_generated
158,晚上的课听到一半，我已经完全记不住老师在讲什么,tired,ai_generated
159,回宿舍以后只想躺着，连手机都不想刷,tired,ai_generated
160,今天一直在赶路和上课，整个人像没电了,tired,ai_generated
161,明明睡了很久，醒来还是觉得累,tired,ai_generated
162,我坐在图书馆里翻书，但脑子已经停在上一页,tired,ai_generated
163,跑完实验又去开会，回来的路上只想安静十分钟,tired,ai_generated
164,肩膀很酸，眼睛也很涩，今天真的撑得有点久,tired,ai_generated
165,宿舍楼梯不高，可我今天爬上去都觉得费劲,tired,ai_generated
166,把电脑合上的那一刻，我只想什么都别再找我,tired,ai_generated
167,连续几天睡不好，连说话都变得慢了,tired,ai_generated
168,今天的我像在自动运行，事情做完了，人也空了,tired,ai_generated
169,从教学楼走到食堂这段路，我都觉得特别漫长,tired,ai_generated
170,不是难过，也不是焦虑，就是很累很累,tired,ai_generated
171,早八到晚九结束后，我连回消息都觉得费力,tired,ai_generated
172,今天一直在楼之间跑，坐下来才发现脚很酸,tired,ai_generated
173,连着几天赶作业，我现在只想安静地睡一觉,tired,ai_generated
174,课堂上我努力睁着眼，但脑子已经跟不上了,tired,ai_generated
175,回宿舍的路上我走得很慢，像电量只剩百分之一,tired,ai_generated
176,今天没有情绪起伏，只是身体真的很疲惫,tired,ai_generated
177,我靠在图书馆椅背上，差点直接睡过去,tired,ai_generated
178,洗完衣服以后，我坐在阳台边发呆了十分钟,tired,ai_generated
179,实验室出来时天已经黑了，我只觉得肩膀沉,tired,ai_generated
180,连吃饭都像任务，我只是机械地把餐盘端走,tired,ai_generated
181,这几天睡眠被切得很碎，整个人都不清醒,tired,ai_generated
182,我想努力一点，但眼皮已经替我先投降了,tired,ai_generated
183,开会开到最后，我只听见自己的脑子在嗡嗡响,tired,ai_generated
184,回到座位上翻开书，我发现自己一个字也看不进去,tired,ai_generated
185,今天的楼梯格外长，我每走一步都想停下来,tired,ai_generated
186,我不是心情不好，只是真的一点力气都没有了,tired,ai_generated
187,连续赶路和排队以后，我只想找个地方坐着不动,tired,ai_generated
188,晚课结束那一刻，我感觉整个人都被掏空,tired,ai_generated
189,电脑屏幕亮着，但我已经没有精神再改一个字,tired,ai_generated
190,我把书包放下以后，站在原地缓了很久,tired,ai_generated
191,今天说了太多话，回宿舍后一句也不想再讲,tired,ai_generated
192,跑完操再去上课，我整个人都像慢了半拍,tired,ai_generated
193,午休没睡成，下午每一分钟都变得很长,tired,ai_generated
194,实验记录写到最后，字都开始飘起来,tired,ai_generated
195,我想把今天的事整理一下，但脑子已经空了,tired,ai_generated
196,从快递站抱东西回来，我只想直接躺下,tired,ai_generated
197,坐公交回学校时，我差点坐过站,tired,ai_generated
198,这不是难受，就是那种从身体里透出来的累,tired,ai_generated
199,我看着还没洗的杯子，决定明天再说,tired,ai_generated
200,一天结束后，我只想把自己静音,tired,ai_generated
201,努力准备了很久，结果还是不理想，我有点想哭,sad,ai_generated
202,今天被老师当众指出问题，心里一直很委屈,sad,ai_generated
203,看到名单上没有自己的名字，整个人一下子低落了,sad,ai_generated
204,朋友随口一句话，我却难过了很久,sad,ai_generated
205,原本很期待的事情取消了，心里空落落的,sad,ai_generated
206,我以为自己已经习惯了，可结果出来时还是很失落,sad,ai_generated
207,今天在宿舍忍了很久，最后还是偷偷掉眼泪,sad,ai_generated
208,明明已经尽力了，却还是被说不够好,sad,ai_generated
209,走出办公室的时候，我突然觉得自己特别失败,sad,ai_generated
210,看到别人顺利完成，我为他们开心，也替自己难过,sad,ai_generated
211,今天没有人做错什么，但我就是觉得心里很沉,sad,ai_generated
212,把消息删了又打，最后还是没发出去，心里很难受,sad,ai_generated
213,很想装作没关系，可我确实被那句话伤到了,sad,ai_generated
214,考试结束后大家都在讨论答案，我越听越失落,sad,ai_generated
215,计划了很久的见面没能成行，晚上突然有点想哭,sad,ai_generated
216,今天的努力像没有被看见，心里堵得慌,sad,ai_generated
217,我知道这不是什么大事，但还是觉得很委屈,sad,ai_generated
218,从活动现场出来以后，热闹散了，我心里反而很低落,sad,ai_generated
219,收到拒信的时候，我盯着屏幕看了很久,sad,ai_generated
220,回到宿舍关上门，才发现自己其实挺难过的,sad,ai_generated
221,我期待了很久的机会，最后还是和我擦肩而过,sad,ai_generated
222,明明认真准备了，却被一句不够好打回原地,sad,ai_generated
223,朋友没有恶意，但那句话还是让我难过了一下午,sad,ai_generated
224,看到结果的一瞬间，我觉得心里一下空了,sad,ai_generated
225,我以为自己会被理解，最后却像说错了什么,sad,ai_generated
226,今天被忽略的小细节，在晚上突然变得很重,sad,ai_generated
227,努力没有被看见的时候，我真的有点委屈,sad,ai_generated
228,我走出教室以后才敢让眼泪掉下来,sad,ai_generated
229,原本想分享的好消息，后来发现也没那么重要了,sad,ai_generated
230,我知道失败很正常，可轮到自己还是很难受,sad,ai_generated
231,被比较的时候，我突然觉得自己哪里都不够好,sad,ai_generated
232,今天没有特别大的打击，但小失落攒在一起也很沉,sad,ai_generated
233,我把那句没关系说得很轻松，其实心里很酸,sad,ai_generated
234,看到别人被肯定，我才发现自己也很想被看见,sad,ai_generated
235,计划被临时取消后，我一个人在路边站了很久,sad,ai_generated
236,我明明很努力地忍住了，还是在回宿舍时红了眼,sad,ai_generated
237,那条消息没有等来回复，我的心情慢慢沉下去,sad,ai_generated
238,今天被误会了，我解释完还是觉得很委屈,sad,ai_generated
239,我以为自己不会在意，可还是被结果伤到了,sad,ai_generated
240,晚上的校园很安静，我的失落也变得很明显,sad,ai_generated
241,我不想把难过说得太大，可它确实一直在,sad,ai_generated
242,被拒绝以后，我在楼梯间站了好一会儿,sad,ai_generated
243,原本开心的事情被一句话打断，心里突然凉了,sad,ai_generated
244,我把桌面收拾干净，却收拾不好今天的低落,sad,ai_generated
245,回想起白天那一幕，还是觉得胸口闷闷的,sad,ai_generated
246,别人只是随口评价，我却偷偷记了很久,sad,ai_generated
247,今天没有人责怪我，但我还是觉得自己很失败,sad,ai_generated
248,错过报名时间后，我整个人都蔫了下来,sad,ai_generated
249,我在操场走了两圈，还是没把难过走掉,sad,ai_generated
250,宿舍灯亮着，可我心里有一块地方暗下来了,sad,ai_generated
251,午后的湖边很安静，我坐着看水面发了一会儿呆,calm,ai_generated
252,今天没有特别开心，也没有特别难过，只是很平稳,calm,ai_generated
253,图书馆角落很安静，我终于能慢慢把书看下去,calm,ai_generated
254,晚饭后绕操场走了一圈，心里没有太多波动,calm,ai_generated
255,雨停以后校园很干净，我站在楼下看了一会儿,calm,ai_generated
256,下午的自习室只有翻书声，我觉得时间慢了下来,calm,ai_generated
257,今天的课按部就班地结束了，没有什么特别的起伏,calm,ai_generated
258,坐在咖啡馆靠窗的位置，看人来人往也挺安静,calm,ai_generated
259,湖边的风不大，我只是想在那里待一会儿,calm,ai_generated
260,宿舍难得安静，我把桌面收拾干净，心也稳了一点,calm,ai_generated
261,傍晚的教学楼走廊空空的，反而让我觉得很平静,calm,ai_generated
262,今天没有急着赶路，慢慢走回宿舍也不错,calm,ai_generated
263,在操场边坐着听了一会儿歌，什么也没想,calm,ai_generated
264,阳光落在书页上，我只是安静地看完了一章,calm,ai_generated
265,晚上的校园灯光很柔和，我的心情也很平稳,calm,ai_generated
266,没有消息也没有安排，今天像一杯温水,calm,ai_generated
267,我在食堂慢慢吃完饭，感觉节奏终于慢下来,calm,ai_generated
268,走到湖边时没有特别想说的话，只是觉得安静,calm,ai_generated
269,今天把该做的事一点点做完，心里很稳,calm,ai_generated
270,从教学楼出来时天还亮着，我难得没有着急,calm,ai_generated
271,下午没有课，我在湖边慢慢坐到天色变暗,calm,ai_generated
272,今天的计划都按顺序完成了，心里很平稳,calm,ai_generated
273,自习室里只有笔尖划过纸面的声音，我觉得很安静,calm,ai_generated
274,吃完晚饭沿着操场走了一圈，什么也没急着想,calm,ai_generated
275,图书馆靠窗的位置很亮，我安静地看完了几页书,calm,ai_generated
276,宿舍今天难得没有吵闹，我把东西一点点归位,calm,ai_generated
277,雨后的校园路面发亮，我慢慢走回教学楼,calm,ai_generated
278,今天像被调成了低速，没有太多波澜,calm,ai_generated
279,我坐在长椅上看人来人往，心里很平和,calm,ai_generated
280,晚风不冷不热，我只是安静地站了一会儿,calm,ai_generated
281,没有特别想分享的事，也没有特别想逃开的事,calm,ai_generated
282,咖啡馆里人不多，我听着背景音乐整理笔记,calm,ai_generated
283,今天的心情像湖面，偶尔有风但很快平下来,calm,ai_generated
284,我把明天要用的书放好，感觉事情都在原位,calm,ai_generated
285,从教学楼出来时天色刚好，我没有赶路,calm,ai_generated
286,操场边的灯一盏盏亮起来，我慢慢看了一会儿,calm,ai_generated
287,今天的我不热烈，也不低落，只是稳定地过完了,calm,ai_generated
288,我在食堂排队时没有刷手机，只是看着窗口冒热气,calm,ai_generated
289,晚上的走廊很安静，连脚步声都变得轻了,calm,ai_generated
290,我把手机放到一边，认真喝完了一杯水,calm,ai_generated
291,图书馆闭馆前十分钟，我刚好收完最后一页笔记,calm,ai_generated
292,没有被催，也没有赶时间，今天很适合慢慢来,calm,ai_generated
293,我在草坪旁边坐着，听树叶轻轻响,calm,ai_generated
294,下课后没有马上离开，只是在座位上缓了一会儿,calm,ai_generated
295,今天把房间收拾干净以后，心情也清爽了一点,calm,ai_generated
296,校园广播的声音从远处传来，我只是安静地听着,calm,ai_generated
297,我看完一章书，给自己倒了杯温水,calm,ai_generated
298,晚上没有安排，我沿着熟悉的路慢慢走,calm,ai_generated
299,今天没有什么特别值得记录，但也不坏,calm,ai_generated
300,湖面很平，我的心情也跟着平下来,calm,ai_generated
301,湖边的晚风吹过来，我感觉心里紧着的地方松了一点,healed,ai_generated
302,操场上有人跑步，夕阳很好看，我突然被治愈了一下,healed,ai_generated
303,咖啡馆放着很轻的歌，我的情绪慢慢缓了下来,healed,ai_generated
304,路过花坛时闻到很淡的香味，今天好像没那么糟了,healed,ai_generated
305,晚上从自习室出来，抬头看到月亮，心里软了一点,healed,ai_generated
306,朋友发来一张猫的照片，我突然笑了一下,healed,ai_generated
307,湖面反着光，我坐了一会儿，感觉自己终于能呼吸,healed,ai_generated
308,食堂阿姨多给我夹了一点菜，今天被小小地安慰到,healed,ai_generated
309,走过操场时听见有人唱歌，心情被轻轻拉起来,healed,ai_generated
310,雨后的空气很清爽，像把心里的灰尘也洗掉了一点,healed,ai_generated
311,自习到很晚时看到便利店还亮着灯，忽然觉得没那么冷,healed,ai_generated
312,舍友给我留了一盏小灯，我回来的时候心里暖了一下,healed,ai_generated
313,教学楼外的树影很好看，让我从烦躁里出来了一点,healed,ai_generated
314,喝到热豆浆的那一刻，整个人像被慢慢放松下来,healed,ai_generated
315,图书馆窗外的晚霞很漂亮，我突然觉得今天还有一点值得记住,healed,ai_generated
316,操场的风吹过来，我脑子里乱糟糟的东西安静了一点,healed,ai_generated
317,路边有人对我说谢谢，我的心情被很轻地托了一下,healed,ai_generated
318,听完那首歌以后，我觉得自己好像缓过来了一点,healed,ai_generated
319,夜里回宿舍的路上闻到桂花香，突然觉得校园也有温柔的时候,healed,ai_generated
320,今天没有变得很好，但湖边那十分钟真的救了我一下,healed,ai_generated
321,晚霞把教学楼染成橘色，我的烦躁一下轻了很多,healed,ai_generated
322,路过操场时听见有人弹吉他，心情被慢慢拉回来,healed,ai_generated
323,雨后的桂花香突然飘过来，今天好像被温柔地提醒了一下,healed,ai_generated
324,便利店的热关东煮冒着气，我整个人都暖了一点,healed,ai_generated
325,图书馆窗外有一只鸟停了很久，我莫名觉得被安慰,healed,ai_generated
326,操场边的风吹散了脑子里的乱线,healed,ai_generated
327,喝到第一口热奶茶的时候，我感觉自己终于松下来,healed,ai_generated
328,湖边的灯倒在水里，像有人替我把心情铺平,healed,ai_generated
329,朋友发来的表情包很傻，但我真的笑出来了,healed,ai_generated
330,夜跑结束后出了一身汗，心里的堵也少了一点,healed,ai_generated
331,听完喜欢的歌，今天那些小烦恼好像没那么尖了,healed,ai_generated
332,阳光落在宿舍阳台上，我突然想把被子晒一晒,healed,ai_generated
333,食堂阿姨记得我不要香菜，我被这个小细节治愈到,healed,ai_generated
334,从实验室出来看到满天星星，觉得辛苦被轻轻接住,healed,ai_generated
335,校园里的树影摇来摇去，我的情绪也慢慢软下来,healed,ai_generated
336,在咖啡馆闻到烤面包的味道，突然觉得生活还不错,healed,ai_generated
337,湖边那阵风没有解决问题，但让我能继续呼吸,healed,ai_generated
338,有人在楼下练琴，旋律断断续续却很温柔,healed,ai_generated
339,我看到一只猫趴在花坛边，坏心情被分走了一半,healed,ai_generated
340,热水从杯子里冒出来，我突然不想再和今天较劲,healed,ai_generated
341,跑道上的夕阳很好看，我把烦闷留在了那一圈里,healed,ai_generated
342,雨停后空气很清澈，我感觉自己也被洗亮了一点,healed,ai_generated
343,图书馆里有人轻轻帮我扶了一下掉下来的书,healed,ai_generated
344,听到舍友哼歌，我的心情也跟着变轻了一点,healed,ai_generated
345,晚风吹过校道，我突然觉得今天并没有完全糟糕,healed,ai_generated
346,路边的花开得很认真，让我也想认真过完今天,healed,ai_generated
347,从自习室出来看到月亮，我心里那点硬壳软了下来,healed,ai_generated
348,一杯热汤下肚，我才发现自己其实只是需要被暖一下,healed,ai_generated
349,操场上孩子一样的笑声，让我从疲惫里抬起头,healed,ai_generated
350,今天被一阵风和一盏灯救回了一点点,healed,ai_generated
351,朋友说可以陪我一起去找老师，我一下子安心了很多,secure,ai_generated
352,宿舍门口的灯还亮着，回来的时候觉得很踏实,secure,ai_generated
353,老师耐心听我解释完，我终于没有那么慌了,secure,ai_generated
354,小组成员说这部分他们会一起改，我感觉自己被接住了,secure,ai_generated
355,生病的时候舍友帮我带了药，我突然觉得很安全,secure,ai_generated
356,和家里通完电话以后，心里那块悬着的地方落下来了,secure,ai_generated
357,辅导员说可以慢慢来，我终于敢把真实情况说出来,secure,ai_generated
358,有人记得我没吃晚饭，还顺手给我带了一份,secure,ai_generated
359,晚上回宿舍看到床铺和台灯都在，突然觉得这里还算是个归处,secure,ai_generated
360,朋友没有催我解释，只是说他在，我觉得很安心,secure,ai_generated
361,实验出问题时有人愿意和我一起看，我没那么害怕了,secure,ai_generated
362,下雨的时候同学把伞偏向我这边，我心里很踏实,secure,ai_generated
363,老师说这次可以再修改提交，我终于松了一口气,secure,ai_generated
364,宿舍群里有人问我到没到，我突然有种被惦记的感觉,secure,ai_generated
365,我把担心说出来以后，对方没有笑我，只是认真听着,secure,ai_generated
366,晚归时保安叔叔提醒我走亮一点的路，心里莫名安稳,secure,ai_generated
367,朋友陪我坐了一会儿，没有说教，只是让我慢慢讲,secure,ai_generated
368,小组讨论终于分工清楚了，我觉得事情变得可控了,secure,ai_generated
369,打开宿舍门听见有人问我回来啦，心里一下暖稳了,secure,ai_generated
370,今天有人站在我这边，我终于没觉得自己孤零零的,secure,ai_generated
371,小组分工终于明确了，我不用再一个人扛着所有事,secure,ai_generated
372,老师说可以延期一天，我心里那根绷着的线松了,secure,ai_generated
373,舍友给我留了门，我回来的时候觉得很踏实,secure,ai_generated
374,朋友说不管结果怎样都会陪我去，我突然没那么怕了,secure,ai_generated
375,辅导员认真听完我的情况，没有急着评价我,secure,ai_generated
376,实验出错时学长说他以前也遇到过，我一下安心很多,secure,ai_generated
377,下雨天有人把伞往我这边偏了一点，心里很稳,secure,ai_generated
378,回宿舍看到桌上的热水，是舍友顺手帮我倒的,secure,ai_generated
379,老师把问题拆成几步讲给我听，我终于觉得能处理了,secure,ai_generated
380,朋友没有追问，只是说等我想讲的时候他在,secure,ai_generated
381,群里有人主动接下剩下的部分，我感觉压力被分走了,secure,ai_generated
382,晚上回校时保安提醒我走灯亮的路，心里有点被照顾到,secure,ai_generated
383,家里人说慢慢来，不用一次就做到最好,secure,ai_generated
384,我把焦虑说出来以后，对方没有敷衍，而是认真回应,secure,ai_generated
385,宿舍有人问我要不要一起去吃饭，我突然觉得自己被记得,secure,ai_generated
386,老师说这次主要看进步，不只看结果，我放心了一点,secure,ai_generated
387,朋友帮我确认了一遍报名材料，我终于不再反复检查,secure,ai_generated
