id,text,emotion_type,source
36,还没到答辩时间，我已经开始想象自己卡壳的样子,anxious,ai_generated
37,晚上躺下以后，明天的事情一件件冒出来，怎么都睡不着,anxious,ai_generated
38,我怕自己这次又让人失望，这个念头一直压在心里,anxious,ai_generated
39,看着日程表上的安排，我突然不知道自己能不能撑住,anxious,ai_generated
40,还没收到确认消息，我就一直刷新页面，越刷越慌,anxious,ai_generated
41,三门作业挤在同一天截止，我感觉整个人都被 ddl 推着走,stressed,ai_generated
42,图书馆坐了一下午，任务清单还是长得看不到头,stressed,ai_generated
43,小组作业突然多了一堆修改，我真的有点喘不过气,stressed,ai_generated
44,复习资料堆在桌上，每翻一页都觉得压力更重一点,stressed,ai_generated
45,老师又布置了新的实验报告，我看着文件夹发呆,stressed,ai_generated
46,这周的考试和汇报撞在一起，感觉时间怎么都不够用,stressed,ai_generated
47,绩点排名快出了，我觉得自己被一串数字追着跑,stressed,ai_generated
48,项目还没做完，群里又开始催进度，我脑子很满,stressed,ai_generated
49,今晚本来想休息，但明天要交的东西还一个都没收尾,stressed,ai_generated
50,教学楼的灯亮到很晚，我也还在赶那份改不完的报告,stressed,ai_generated
51,任务一件接一件地压过来，我连吃饭都在想还有什么没做,stressed,ai_generated
52,老师说下周要检查阶段成果，我突然觉得这几天都不够用了,stressed,ai_generated
53,打开电脑看到待办列表，我第一反应不是开始，而是窒息,stressed,ai_generated
54,大家都在赶进度，我也只能硬着头皮继续往前推,stressed,ai_generated
55,实验数据又出错了，报告今晚可能又写不完,stressed,ai_generated
56,复习到一半发现还有一整章没看，心里一下沉了下去,stressed,ai_generated
57,一边准备考试一边改项目，我感觉自己被切成了很多份,stressed,ai_generated
58,导师临时加了要求，我看着文档只觉得头皮发紧,stressed,ai_generated
59,今天从早到晚都在处理任务，却没有一件真正结束,stressed,ai_generated
60,我不是不想做好，只是所有事情都同时压了上来,stressed,ai_generated
61,昨晚熬到两点，今天坐在教室里眼睛一直睁不开,tired,ai_generated
62,从早八上到晚课，走回宿舍时腿都像不是自己的,tired,ai_generated
63,今天没发生什么大事，但我就是累得一句话也不想说,tired,ai_generated
64,在自习室坐太久了，脑子像被掏空一样,tired,ai_generated
65,洗完澡坐在床边，我突然连吹头发的力气都没有,tired,ai_generated
66,连轴转了一整周，今天终于感觉身体开始抗议,tired,ai_generated
67,饭点过了才发现自己还没吃东西，只觉得很疲惫,tired,ai_generated
68,晚上的课听到一半，我已经完全记不住老师在讲什么,tired,ai_generated
69,回宿舍以后只想躺着，连手机都不想刷,tired,ai_generated
70,今天一直在赶路和上课，整个人像没电了,tired,ai_generated
71,明明睡了很久，醒来还是觉得累,tired,ai_generated
72,我坐在图书馆里翻书，但脑子已经停在上一页,tired,ai_generated
73,跑完实验又去开会，回来的路上只想安静十分钟,tired,ai_generated
74,肩膀很酸，眼睛也很涩，今天真的撑得有点久,tired,ai_generated
75,宿舍楼梯不高，可我今天爬上去都觉得费劲,tired,ai_generated
76,把电脑合上的那一刻，我只想什么都别再找我,tired,ai_generated
77,连续几天睡不好，连说话都变得慢了,tired,ai_generated
78,今天的我像在自动运行，事情做完了，人也空了,tired,ai_generated
79,从教学楼走到食堂这段路，我都觉得特别漫长,tired,ai_generated
80,不是难过，也不是焦虑，就是很累很累,tired,ai_generated
81,努力准备了很久，结果还是不理想，我有点想哭,sad,ai_generated
82,今天被老师当众指出问题，心里一直很委屈,sad,ai_generated
83,看到名单上没有自己的名字，整个人一下子低落了,sad,ai_generated
84,朋友随口一句话，我却难过了很久,sad,ai_generated
85,原本很期待的事情取消了，心里空落落的,sad,ai_generated
86,我以为自己已经习惯了，可结果出来时还是很失落,sad,ai_generated
87,今天在宿舍忍了很久，最后还是偷偷掉眼泪,sad,ai_generated
88,明明已经尽力了，却还是被说不够好,sad,ai_generated
89,走出办公室的时候，我突然觉得自己特别失败,sad,ai_generated
90,看到别人顺利完成，我为他们开心，也替自己难过,sad,ai_generated
91,今天没有人做错什么，但我就是觉得心里很沉,sad,ai_generated
92,把消息删了又打，最后还是没发出去，心里很难受,sad,ai_generated
93,很想装作没关系，可我确实被那句话伤到了,sad,ai_generated
94,考试结束后大家都在讨论答案，我越听越失落,sad,ai_generated
95,计划了很久的见面没能成行，晚上突然有点想哭,sad,ai_generated
96,今天的努力像没有被看见，心里堵得慌,sad,ai_generated
97,我知道这不是什么大事，但还是觉得很委屈,sad,ai_generated
98,从活动现场出来以后，热闹散了，我心里反而很低落,sad,ai_generated
99,收到拒信的时候，我盯着屏幕看了很久,sad,ai_generated
100,回到宿舍关上门，才发现自己其实挺难过的,sad,ai_generated
101,午后的湖边很安静，我坐着看水面发了一会儿呆,calm,ai_generated
102,今天没有特别开心，也没有特别难过，只是很平稳,calm,ai_generated
103,图书馆角落很安静，我终于能慢慢把书看下去,calm,ai_generated
104,晚饭后绕操场走了一圈，心里没有太多波动,calm,ai_generated
105,雨停以后校园很干净，我站在楼下看了一会儿,calm,ai_generated
106,下午的自习室只有翻书声，我觉得时间慢了下来,calm,ai_generated
107,今天的课按部就班地结束了，没有什么特别的起伏,calm,ai_generated
108,坐在咖啡馆靠窗的位置，看人来人往也挺安静,calm,ai_generated
109,湖边的风不大，我只是想在那里待一会儿,calm,ai_generated
110,宿舍难得安静，我把桌面收拾干净，心也稳了一点,calm,ai_generated
111,傍晚的教学楼走廊空空的，反而让我觉得很平静,calm,ai_generated
112,今天没有急着赶路，慢慢走回宿舍也不错,calm,ai_generated
113,在操场边坐着听了一会儿歌，什么也没想,calm,ai_generated
114,阳光落在书页上，我只是安静地看完了一章,calm,ai_generated
115,晚上的校园灯光很柔和，我的心情也很平稳,calm,ai_generated
116,没有消息也没有安排，今天像一杯温水,calm,ai_generated
117,我在食堂慢慢吃完饭，感觉节奏终于慢下来,calm,ai_generated
118,走到湖边时没有特别想说的话，只是觉得安静,calm,ai_generated
119,今天把该做的事一点点做完，心里很稳,calm,ai_generated
120,从教学楼出来时天还亮着，我难得没有着急,calm,ai_generated
121,湖边的晚风吹过来，我感觉心里紧着的地方松了一点,healed,ai_generated
122,操场上有人跑步，夕阳很好看，我突然被治愈了一下,healed,ai_generated
123,咖啡馆放着很轻的歌，我的情绪慢慢缓了下来,healed,ai_generated
124,路过花坛时闻到很淡的香味，今天好像没那么糟了,healed,ai_generated
125,晚上从自习室出来，抬头看到月亮，心里软了一点,healed,ai_generated
126,朋友发来一张猫的照片，我突然笑了一下,healed,ai_generated
127,湖面反着光，我坐了一会儿，感觉自己终于能呼吸,healed,ai_generated
128,食堂阿姨多给我夹了一点菜，今天被小小地安慰到,healed,ai_generated
129,走过操场时听见有人唱歌，心情被轻轻拉起来,healed,ai_generated
130,雨后的空气很清爽，像把心里的灰尘也洗掉了一点,healed,ai_generated
131,自习到很晚时看到便利店还亮着灯，忽然觉得没那么冷,healed,ai_generated
132,舍友给我留了一盏小灯，我回来的时候心里暖了一下,healed,ai_generated
133,教学楼外的树影很好看，让我从烦躁里出来了一点,healed,ai_generated
134,喝到热豆浆的那一刻，整个人像被慢慢放松下来,healed,ai_generated
135,图书馆窗外的晚霞很漂亮，我突然觉得今天还有一点值得记住,healed,ai_generated
136,操场的风吹过来，我脑子里乱糟糟的东西安静了一点,healed,ai_generated
137,路边有人对我说谢谢，我的心情被很轻地托了一下,healed,ai_generated
138,听完那首歌以后，我觉得自己好像缓过来了一点,healed,ai_generated
139,夜里回宿舍的路上闻到桂花香，突然觉得校园也有温柔的时候,healed,ai_generated
140,今天没有变得很好，但湖边那十分钟真的救了我一下,healed,ai_generated
141,朋友说可以陪我一起去找老师，我一下子安心了很多,secure,ai_generated
142,宿舍门口的灯还亮着，回来的时候觉得很踏实,secure,ai_generated
143,老师耐心听我解释完，我终于没有那么慌了,secure,ai_generated
144,小组成员说这部分他们会一起改，我感觉自己被接住了,secure,ai_generated
145,生病的时候舍友帮我带了药，我突然觉得很安全,secure,ai_generated
146,和家里通完电话以后，心里那块悬着的地方落下来了,secure,ai_generated
147,辅导员说可以慢慢来，我终于敢把真实情况说出来,secure,ai_generated
148,有人记得我没吃晚饭，还顺手给我带了一份,secure,ai_generated
149,晚上回宿舍看到床铺和台灯都在，突然觉得这里还算是个归处,secure,ai_generated
150,朋友没有催我解释，只是说他在，我觉得很安心,secure,ai_generated
151,实验出问题时有人愿意和我一起看，我没那么害怕了,secure,ai_generated
152,下雨的时候同学把伞偏向我这边，我心里很踏实,secure,ai_generated
153,老师说这次可以再修改提交，我终于松了一口气,secure,ai_generated
154,宿舍群里有人问我到没到，我突然有种被惦记的感觉,secure,ai_generated
155,我把担心说出来以后，对方没有笑我，只是认真听着,secure,ai_generated
156,晚归时保安叔叔提醒我走亮一点的路，心里莫名安稳,secure,ai_generated
157,朋友陪我坐了一会儿，没有说教，只是让我慢慢讲,secure,ai_generated
158,小组讨论终于分工清楚了，我觉得事情变得可控了,secure,ai_generated
159,打开宿舍门听见有人问我回来啦，心里一下暖稳了,secure,ai_generated
160,今天有人站在我这边，我终于没觉得自己孤零零的,secure,ai_generated
161,今天社团活动很顺利，大家一起笑到停不下来,happy,ai_generated
162,拿到喜欢课程的高分时，我在楼梯间偷偷开心了很久,happy,ai_generated
163,食堂今天有我喜欢的菜，连排队都觉得没那么烦,happy,ai_generated
164,和朋友在操场拍了很多照片，回来看还是想笑,happy,ai_generated
165,抢到了想听的讲座名额，我开心得马上截图保存,happy,ai_generated
166,今天的小组展示居然很顺利，我整个人都亮起来了,happy,ai_generated
167,下午收到夸奖的时候，我忍不住笑了一路,happy,ai_generated
168,和很久没见的朋友在校园里碰到，开心得像捡到礼物,happy,ai_generated
169,篮球赛赢了以后，操场上的欢呼声让我也跟着兴奋,happy,ai_generated
170,今天阳光很好，奶茶也很好喝，我的心情也很好,happy,ai_generated
171,社团排练终于完整过了一遍，大家都特别开心,happy,ai_generated
172,老师说我的想法很有意思，我一下午都很高兴,happy,ai_generated
173,在路上遇到可爱的小狗，我心情突然变得很好,happy,ai_generated
174,今天和舍友一起吃夜宵，笑到差点忘了时间,happy,ai_generated
175,收到朋友寄来的小礼物，拆开的时候真的很开心,happy,ai_generated
176,运动会接力跑完后，大家抱在一起庆祝,happy,ai_generated
177,终于买到图书馆咖啡机最后一杯热拿铁，快乐很简单,happy,ai_generated
178,今天的晚霞太好看了，我拍了好多张都舍不得删,happy,ai_generated
179,被喜欢的社团录取了，我一路走回宿舍都在笑,happy,ai_generated
180,周五最后一节课下课铃响起时，我真的快乐起来了,happy,ai_generated
181,虽然今天很累，但想到明天可以重新开始，心里有一点光,hopeful,ai_generated
182,这次没做好没关系，我知道自己下一次还能再试,hopeful,ai_generated
183,走出教学楼时看到天还亮着，突然觉得事情会慢慢变好,hopeful,ai_generated
184,老师给了修改建议，我好像又知道下一步该怎么走了,hopeful,ai_generated
185,复习进度终于往前推了一点，我觉得自己还能继续,hopeful,ai_generated
186,今天只是迈出很小一步，但我愿意把它算作开始,hopeful,ai_generated
187,看到学长分享经验以后，我对自己的方向有了一点期待,hopeful,ai_generated
188,操场跑完两圈后，我突然觉得身体和生活都还能恢复,hopeful,ai_generated
189,虽然申请还没结果，但我想先把能做的事做好,hopeful,ai_generated
190,夜里从图书馆出来，看到远处灯还亮着，觉得自己也能撑下去,hopeful,ai_generated
191,今天把拖了很久的任务开了头，心里终于有点希望,hopeful,ai_generated
192,失败以后重新整理计划，我发现路还没有完全堵死,hopeful,ai_generated
193,朋友说慢慢来，我突然愿意再给自己一点时间,hopeful,ai_generated
194,这个学期很难，但我好像已经比开学时更稳了一点,hopeful,ai_generated
195,看着日历上的安排，我决定先把明天过好,hopeful,ai_generated
196,虽然现在还看不到结果，但我相信这些努力不会全白费,hopeful,ai_generated
197,晚风吹过操场，我突然想认真地期待一下未来,hopeful,ai_generated
198,今天没有解决所有问题，但至少我没有停在原地,hopeful,ai_generated
199,把书包整理好以后，我觉得明天可以重新出发,hopeful,ai_generated
200,走回宿舍时我想，也许再坚持一下就会不一样,hopeful,ai_generated
